taxonID,description,type,language
alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,Europe,native range,en
alien-herpetofauna-belgium:taxon:0071508c44f068ff6d46a00c66546945,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:0071508c44f068ff6d46a00c66546945,Europe,native range,en
alien-herpetofauna-belgium:taxon:04b8603a65a17134d98dc10e9b6460eb,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:04b8603a65a17134d98dc10e9b6460eb,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:04b8603a65a17134d98dc10e9b6460eb,North America | South America,native range,en
alien-herpetofauna-belgium:taxon:0fe00308f2274b539fd7ffc022fec1ed,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:0fe00308f2274b539fd7ffc022fec1ed,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:0fe00308f2274b539fd7ffc022fec1ed,Madagascar,native range,en
alien-herpetofauna-belgium:taxon:11f754026fc161e815b828b2126129f7,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:11f754026fc161e815b828b2126129f7,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:11f754026fc161e815b828b2126129f7,North America,native range,en
alien-herpetofauna-belgium:taxon:120fce858323335c4bfb07eb99b687f4,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:120fce858323335c4bfb07eb99b687f4,stowaway_container,introduction pathway,en
alien-herpetofauna-belgium:taxon:120fce858323335c4bfb07eb99b687f4,Asia,native range,en
alien-herpetofauna-belgium:taxon:12f3f7396362d8052953e9d2e6a8bd6e,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:12f3f7396362d8052953e9d2e6a8bd6e,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:12f3f7396362d8052953e9d2e6a8bd6e,North America,native range,en
alien-herpetofauna-belgium:taxon:134fe41ee2f30e5d1002761ef0c8a0d8,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:134fe41ee2f30e5d1002761ef0c8a0d8,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:134fe41ee2f30e5d1002761ef0c8a0d8,Africa,native range,en
alien-herpetofauna-belgium:taxon:14a3424984726e6b79c45b3fd6c97d78,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:14a3424984726e6b79c45b3fd6c97d78,stowaway_container | escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:14a3424984726e6b79c45b3fd6c97d78,All continents except Antarctica,native range,en
alien-herpetofauna-belgium:taxon:14a886aa3e70d20c19b95089e84cf719,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:14a886aa3e70d20c19b95089e84cf719,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:14a886aa3e70d20c19b95089e84cf719,North America | Central America,native range,en
alien-herpetofauna-belgium:taxon:1a241500ba58174cc3c9dddc61718d62,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:1a241500ba58174cc3c9dddc61718d62,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:1a241500ba58174cc3c9dddc61718d62,North America,native range,en
alien-herpetofauna-belgium:taxon:1e37d2d11e5a99e56b782a719f85dbbb,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:1e37d2d11e5a99e56b782a719f85dbbb,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:1e37d2d11e5a99e56b782a719f85dbbb,Eastern Asia,native range,en
alien-herpetofauna-belgium:taxon:233314dc80badae55523d41e038b3f2d,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:233314dc80badae55523d41e038b3f2d,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:26b25c88b457341c87edb0dbca4bdcba,established,degree of establishment,en
alien-herpetofauna-belgium:taxon:26b25c88b457341c87edb0dbca4bdcba,stowaway_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:26b25c88b457341c87edb0dbca4bdcba,Europe,native range,en
alien-herpetofauna-belgium:taxon:2e5a2ac12840e368cef4618039165c18,casual,degree of establishment,en
alien-herpetofauna-belgium:taxon:2e5a2ac12840e368cef4618039165c18,escape_pet | release_other,introduction pathway,en
alien-herpetofauna-belgium:taxon:2e5a2ac12840e368cef4618039165c18,Central America | South America,native range,en
