scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
"Bufotes viridis (Laurenti, 1768)",Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufotes,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2015,2015,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,Europe,TRUE,FALSE,TRUE,,,,9/8/2020,Loïc van Doorn,
"Pelophylax cf bedriagae (Camerano, 1882)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Brussels,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,2004,2006,"Holsbeek, G., Mergeay, J., Volckaert, F.A.M. et al. Genetic detection of multiple exotic water frog species in Belgium illustrates the need for monitoring and immediate action. Biol Invasions 12, 1459–1463 (2010). https://doi.org/10.1007/s10530-009-9570-9 | Hyla werkgroep",,Eastern | Southeastern mediterranean basin,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Pelophylax ridibundus (Pallas, 1771)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Brussels,BE,present,introduced,established,stowaway_other | escape_pet | release_other,transportStowaway,pet,otherIntentionalRelease,2006,2020,"Holsbeek, G., Mergeay, J., Volckaert, F.A.M. et al. Genetic detection of multiple exotic water frog species in Belgium illustrates the need for monitoring and immediate action. Biol Invasions 12, 1459–1463 (2010). https://doi.org/10.1007/s10530-009-9570-9 | Hyla werkgroep",Putatively introduced by Bulgarian trucker in Wetteren Belgium in 1975,Europe | Asia,TRUE,FALSE,TRUE,,,,4/18/2018,Tim Adriaens,
"Pelophylax perezi (López-Seoane, 1885)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2005,,Weiserbs and Jacob 2005,,Southwestern Europe,TRUE,FALSE,TRUE,,,,5/7/2021,Loïc van Doorn,
"Triturus marmoratus (Latreille, 1800)",Animalia,Chordata,Amphibia,Urodela,Salamandridae,Triturus,species,ICZN,Brussels,BE,present,introduced,established,escape_pet | release_other,pet,otherIntentionalRelease,,1877,1897,Weiserbs and Jacob 2005,,Europe,TRUE,FALSE,TRUE,,,,5/7/2021,Loïc van Doorn,
"Ambystoma tigrinum (Green, 1825)",Animalia,Chordata,Amphibia,Urodela,Ambystomatidae,Ambystoma,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,1970,1970,Weiserbs and Jacob 2005,,North and central America,TRUE,FALSE,TRUE,,,,5/7/2021,Loïc van Doorn,
"Calotes (Cuvier, 1817)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes,genus,ICZN,Brussels,BE,present,introduced,casual,stowaway_container,containerBulk,,,2018,2018,SOS reptiel,,Asia,TRUE,FALSE,FALSE,,,,9/12/2020,Loïc van Doorn,
"Pogona (Storr, 1982)",Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,genus,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2019,2019,https://www.bruzz.be/videoreeks/dinsdag-6-augustus-2019/video-exotische-hagedis-uit-josaphatpark-krijgt-opvang,,Australia,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Pantherophis guttatus (Linnaeus, 1766)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,species,ICZN,Brussels,BE,present,introduced,casual,escape_pet | release_other,pet,otherIntentionalRelease,,2015,2017,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",,North America,TRUE,FALSE,FALSE,,,,9/8/2020,Loïc van Doorn,
"Podarcis muralis (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,species,ICZN,Brussels,BE,present,introduced,established,stowaway_other,transportStowaway,,,1970,2020,"Jooris, R. & Lehouck, M. (2007). De Muurhagedis in Vlaanderen. Natuur.focus 6(4):123-129",presumably introduced as stowaway in transport of goods per train,Europe,TRUE,FALSE,FALSE,,,,4/18/2018,Tim Adriaens,
